Epoch 179/500, Train Loss: 0.8664, Val Loss: 0.8567, LR: 0.000013
Epoch 180/500, Train Loss: 0.8669, Val Loss: 0.8567, LR: 0.000013
Epoch 181/500, Train Loss: 0.8660, Val Loss: 0.8570, LR: 0.000013
Epoch 182/500, Train Loss: 0.8658, Val Loss: 0.8569, LR: 0.000013
Epoch 183/500, Train Loss: 0.8659, Val Loss: 0.8562, LR: 0.000013
Epoch 184/500, Train Loss: 0.8661, Val Loss: 0.8568, LR: 0.000013
Epoch 185/500, Train Loss: 0.8657, Val Loss: 0.8564, LR: 0.000013
Epoch 186/500, Train Loss: 0.8654, Val Loss: 0.8563, LR: 0.000013
Epoch 187/500, Train Loss: 0.8654, Val Loss: 0.8556, LR: 0.000013
Epoch 188/500, Train Loss: 0.8651, Val Loss: 0.8556, LR: 0.000013
Epoch 189/500, Train Loss: 0.8660, Val Loss: 0.8558, LR: 0.000013
Epoch 190/500, Train Loss: 0.8658, Val Loss: 0.8557, LR: 0.000013
Epoch 191/500, Train Loss: 0.8652, Val Loss: 0.8559, LR: 0.000013
Epoch 192/500, Train Loss: 0.8653, Val Loss: 0.8561, LR: 0.000013
Epoch 193/500, Train Loss: 0.8657, Val Loss: 0.8559, LR: 0.000013
Epoch 194/500, Train Loss: 0.8650, Val Loss: 0.8555, LR: 0.000013
Epoch 195/500, Train Loss: 0.8653, Val Loss: 0.8552, LR: 0.000013
Epoch 196/500, Train Loss: 0.8649, Val Loss: 0.8553, LR: 0.000013
Epoch 197/500, Train Loss: 0.8651, Val Loss: 0.8554, LR: 0.000013
Epoch 198/500, Train Loss: 0.8648, Val Loss: 0.8551, LR: 0.000013
Epoch 199/500, Train Loss: 0.8642, Val Loss: 0.8546, LR: 0.000013
Epoch 200/500, Train Loss: 0.8643, Val Loss: 0.8544, LR: 0.000006
Epoch 201/500, Train Loss: 0.8638, Val Loss: 0.8528, LR: 0.000006
Epoch 202/500, Train Loss: 0.8638, Val Loss: 0.8526, LR: 0.000006
Epoch 203/500, Train Loss: 0.8638, Val Loss: 0.8519, LR: 0.000006
Epoch 204/500, Train Loss: 0.8633, Val Loss: 0.8523, LR: 0.000006
Epoch 205/500, Train Loss: 0.8635, Val Loss: 0.8522, LR: 0.000006
Epoch 206/500, Train Loss: 0.8636, Val Loss: 0.8523, LR: 0.000006
Epoch 207/500, Train Loss: 0.8634, Val Loss: 0.8521, LR: 0.000006
Epoch 208/500, Train Loss: 0.8634, Val Loss: 0.8523, LR: 0.000006
Epoch 209/500, Train Loss: 0.8634, Val Loss: 0.8523, LR: 0.000006
