Epoch 88/500, Train Loss: 0.8099, Train Particles Loss: 0.9175, Train Jets Loss: 0.5346, Val Loss: 0.8287, Val Particles Loss: 0.9283, Val Jets Loss: 0.5502, LR: 0.000500
Epoch 89/500, Train Loss: 0.8096, Train Particles Loss: 0.9177, Train Jets Loss: 0.5342, Val Loss: 0.8277, Val Particles Loss: 0.9258, Val Jets Loss: 0.5499, LR: 0.000500
Epoch 90/500, Train Loss: 0.8095, Train Particles Loss: 0.9174, Train Jets Loss: 0.5343, Val Loss: 0.8275, Val Particles Loss: 0.9275, Val Jets Loss: 0.5492, LR: 0.000500
Epoch 91/500, Train Loss: 0.8090, Train Particles Loss: 0.9176, Train Jets Loss: 0.5337, Val Loss: 0.8279, Val Particles Loss: 0.9265, Val Jets Loss: 0.5499, LR: 0.000500
Epoch 92/500, Train Loss: 0.8080, Train Particles Loss: 0.9165, Train Jets Loss: 0.5330, Val Loss: 0.8284, Val Particles Loss: 0.9280, Val Jets Loss: 0.5500, LR: 0.000500
Epoch 93/500, Train Loss: 0.8076, Train Particles Loss: 0.9162, Train Jets Loss: 0.5327, Val Loss: 0.8244, Val Particles Loss: 0.9232, Val Jets Loss: 0.5475, LR: 0.000500
Epoch 94/500, Train Loss: 0.8073, Train Particles Loss: 0.9156, Train Jets Loss: 0.5327, Val Loss: 0.8282, Val Particles Loss: 0.9267, Val Jets Loss: 0.5502, LR: 0.000500
Epoch 95/500, Train Loss: 0.8069, Train Particles Loss: 0.9157, Train Jets Loss: 0.5321, Val Loss: 0.8279, Val Particles Loss: 0.9272, Val Jets Loss: 0.5497, LR: 0.000500
Epoch 96/500, Train Loss: 0.8061, Train Particles Loss: 0.9150, Train Jets Loss: 0.5316, Val Loss: 0.8259, Val Particles Loss: 0.9258, Val Jets Loss: 0.5482, LR: 0.000500
Epoch 97/500, Train Loss: 0.8054, Train Particles Loss: 0.9147, Train Jets Loss: 0.5310, Val Loss: 0.8288, Val Particles Loss: 0.9301, Val Jets Loss: 0.5498, LR: 0.000500
Epoch 98/500, Train Loss: 0.8051, Train Particles Loss: 0.9138, Train Jets Loss: 0.5309, Val Loss: 0.8278, Val Particles Loss: 0.9275, Val Jets Loss: 0.5495, LR: 0.000500
Epoch 99/500, Train Loss: 0.8050, Train Particles Loss: 0.9144, Train Jets Loss: 0.5307, Val Loss: 0.8272, Val Particles Loss: 0.9252, Val Jets Loss: 0.5497, LR: 0.000500
Epoch 100/500, Train Loss: 0.8042, Train Particles Loss: 0.9136, Train Jets Loss: 0.5301, Val Loss: 0.8230, Val Particles Loss: 0.9217, Val Jets Loss: 0.5465, LR: 0.000250
Epoch 101/500, Train Loss: 0.7983, Train Particles Loss: 0.9081, Train Jets Loss: 0.5259, Val Loss: 0.8193, Val Particles Loss: 0.9188, Val Jets Loss: 0.5436, LR: 0.000250
Epoch 102/500, Train Loss: 0.7955, Train Particles Loss: 0.9058, Train Jets Loss: 0.5238, Val Loss: 0.8171, Val Particles Loss: 0.9165, Val Jets Loss: 0.5422, LR: 0.000250
Epoch 103/500, Train Loss: 0.7945, Train Particles Loss: 0.9052, Train Jets Loss: 0.5229, Val Loss: 0.8170, Val Particles Loss: 0.9173, Val Jets Loss: 0.5418, LR: 0.000250
Epoch 104/500, Train Loss: 0.7933, Train Particles Loss: 0.9042, Train Jets Loss: 0.5220, Val Loss: 0.8182, Val Particles Loss: 0.9179, Val Jets Loss: 0.5428, LR: 0.000250
Epoch 105/500, Train Loss: 0.7927, Train Particles Loss: 0.9040, Train Jets Loss: 0.5215, Val Loss: 0.8178, Val Particles Loss: 0.9178, Val Jets Loss: 0.5425, LR: 0.000250
Epoch 106/500, Train Loss: 0.7921, Train Particles Loss: 0.9035, Train Jets Loss: 0.5210, Val Loss: 0.8174, Val Particles Loss: 0.9160, Val Jets Loss: 0.5426, LR: 0.000250
Epoch 107/500, Train Loss: 0.7915, Train Particles Loss: 0.9031, Train Jets Loss: 0.5206, Val Loss: 0.8140, Val Particles Loss: 0.9136, Val Jets Loss: 0.5400, LR: 0.000250
Epoch 108/500, Train Loss: 0.7912, Train Particles Loss: 0.9028, Train Jets Loss: 0.5203, Val Loss: 0.8151, Val Particles Loss: 0.9149, Val Jets Loss: 0.5406, LR: 0.000250
Epoch 109/500, Train Loss: 0.7904, Train Particles Loss: 0.9020, Train Jets Loss: 0.5199, Val Loss: 0.8156, Val Particles Loss: 0.9147, Val Jets Loss: 0.5411, LR: 0.000250
Epoch 110/500, Train Loss: 0.7900, Train Particles Loss: 0.9015, Train Jets Loss: 0.5196, Val Loss: 0.8141, Val Particles Loss: 0.9143, Val Jets Loss: 0.5398, LR: 0.000250
